Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Du8tl5yFMsionTOMHZ9la,"5wsQKyYILAEvohUyKsRAp7","Beats & Vibrations","Highlights","Jawn Rice",2017-12-08,257959,0,spotify:user:seankmchenry,2022-06-29T17:07:55Z,"norwegian house,norwegian pop rap",0.814,0.692,5,-10.743,0,0.0508,0.00891,0.877,0.0635,0.902,120.015,4
3dKzwwQKRBjR97YmgUC9ty,"5wsQKyYILAEvohUyKsRAp7","Search Your Feelings","Highlights","Jawn Rice",2017-12-08,236680,0,spotify:user:seankmchenry,2022-06-29T17:07:55Z,"norwegian house,norwegian pop rap",0.761,0.638,1,-14.826,0,0.0515,0.103,0.888,0.109,0.135,114.996,4
75KNbKs2i96cKvaIFwQ5q6,"4XQKsoNzUlagD1RkEOcf37","Nothing's Wrong In Paradise","Nothing's Wrong in Paradise","Sunstroke",2021-11-05,314138,10,spotify:user:seankmchenry,2022-06-29T17:10:02Z,"",0.238,0.0864,3,-18.195,1,0.0328,0.977,0.234,0.191,0.0349,132.596,4
4dGM8KlCSPNXcgP7K11bhy,"79SJOUvbcH85tS57TH1f4H","Baby Boum","Amour Année Zéro","Alain Chamfort",2010-02-08,243880,5,spotify:user:seankmchenry,2022-06-29T17:11:48Z,"chanson,classic french pop,french pop,french synthpop",0.756,0.907,1,-5.211,1,0.0778,0.0202,0.00168,0.0639,0.865,107.813,4
7feAiWu7r29nk1kUgEpL7c,"1EiNEyiSrpB6BVxt58BnNN","Beneath The Sheets","Beneath The Sheets","Donny Benét",2018-11-01,520885,0,spotify:user:seankmchenry,2022-06-29T17:13:12Z,"australian alternative pop,synth funk",0.723,0.494,7,-11.336,0,0.05,0.0179,0.83,0.156,0.501,105.012,4
5C0SlFpAdV70ZTaWDGlMHF,"2w1cj9Ljx67GMcdmVuVCRe,5Wipinu4T0a6CaRqQl5TB4","Dance","Dance","Night Force,The Tom Cats",1981,320095,10,spotify:user:seankmchenry,2022-07-01T16:14:53Z,"",0.767,0.624,4,-10.929,1,0.0292,0.0327,0.888,0.0521,0.88,113.334,4
0t0SbbEF5mmmbss3xHqYgM,"2w1cj9Ljx67GMcdmVuVCRe,5Wipinu4T0a6CaRqQl5TB4","Search for Love","Dance","Night Force,The Tom Cats",1981,372056,5,spotify:user:seankmchenry,2022-07-01T16:14:53Z,"",0.499,0.768,2,-13.21,0,0.0334,0.00544,0.0445,0.0808,0.869,114.073,4
3jjlrKS37QOEq5xoP7EVXq,"6pJY5At9SiMpAOBrw9YosS","Roue Arrière Rue De La Ré","Club Degli Esploratori","Folamour",2018-07-06,417777,18,spotify:user:seankmchenry,2022-07-01T16:43:03Z,"deep house,disco house,indie soul,jazz house,lo-fi house",0.761,0.529,6,-7.124,0,0.0511,0.00697,0.248,0.0555,0.682,108.003,4
46xnvbs8iwf0B4iAbv0Xmm,"7sbwBqdkynNUDgiWU3TQ5J","Working in a Goldmine","Love","Aztec Camera",1987-11-01,344226,12,spotify:user:seankmchenry,2022-07-01T16:43:03Z,"melancholia,new romantic,new wave,new wave pop,scottish new wave,sophisti-pop,synthpop",0.669,0.574,0,-11.633,1,0.0352,0.416,0.0125,0.0681,0.829,172.24,4
1mcLZgIu8Ya2uXzpf7LKy7,"48Dnzf6Mfo0Z5gjpOKVuLP,5kqJ14A5azjdD37MJr7VOd","VGF - DUB","VGF (DUB)","Donald's House,Lipelis",2021-02-24,388201,18,spotify:user:seankmchenry,2022-07-01T16:44:32Z,"russian electronic",0.679,0.913,5,-8.474,0,0.0523,0.0032,0.313,0.0493,0.855,99.99,4
3v0pTF3xIAvAML3jTUKSVB,"6GNWPphcJ5CtIwCJVV1lLT","Mermaid Beach","Chill Pill","Tornado Wallace",2019-08-23,258872,13,spotify:user:seankmchenry,2022-07-01T16:45:29Z,"australian house,balearic,deep soul house,float house",0.61,0.666,4,-10.076,1,0.0339,0.17,0.378,0.121,0.905,90.059,4
6PuAYmmcj4ldzUNEYRWF8B,"3P0KIUQxtBVy7faypFW75k","Islands","Space World","Conrad Wedde",2014-03-21,272341,0,spotify:user:seankmchenry,2022-07-01T16:48:04Z,"",0.663,0.373,9,-14.298,1,0.0434,0.334,0.499,0.0888,0.823,139.993,4
3ctALmweZBapfBdFiIVpji,"4tZwfgrHOc3mvqYlEYSvVi","The Game of Love","Random Access Memories","Daft Punk",2013-05-17,322146,57,spotify:user:seankmchenry,2022-07-01T16:50:21Z,"electro,filter house",0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,4
22DTd3nEHVU5B7TY9H80vV,"6kNluNBHa4sh5BKIvyiDgf","Arrival","People On Sunday","Domenique Dumont",2020-11-13,169377,47,spotify:user:seankmchenry,2022-07-01T17:04:10Z,"fluxwork",0.447,0.357,9,-16.796,0,0.0586,0.99,0.943,0.0867,0.367,170.015,4
1BHtfF2QyAvPg8CjShwaHv,"67hb7towEyKvt5Z8Bx306c","Before","Two Vines","Empire of the Sun",2016-10-28,244573,36,spotify:user:seankmchenry,2022-07-01T17:05:16Z,"alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop",0.624,0.804,0,-5.019,1,0.0433,0.0422,0.0102,0.109,0.355,114.006,4
6BLLrHJ0Omr8Nu1Z9GPyAj,"6AUMk9WLY52cBTArQhLTKu","Closer To Forever","Colors Of The Sun","Hatchback",2008-09-08,291720,7,spotify:user:seankmchenry,2022-07-01T17:05:21Z,"balearic",0.823,0.223,1,-12.186,1,0.052,0.111,0.881,0.15,0.697,104.991,4
7sVN5FA6DWPMrPU6yoreKp,"1lsJmnN90u3KBvF3tGEWr3","Rare Air","Automatic","Mildlife",2020-09-18,413387,38,spotify:user:seankmchenry,2022-07-01T17:10:31Z,"neo-psychedelic",0.584,0.643,0,-7.738,0,0.0306,0.0578,0.849,0.0893,0.44,121.997,4
2gEOUPrIi4NgX175mZbKH7,"1lsJmnN90u3KBvF3tGEWr3","The Magnificent Moon","Phase","Mildlife",2017-11-02,532066,45,spotify:user:seankmchenry,2022-07-01T17:10:31Z,"neo-psychedelic",0.59,0.802,5,-5.776,0,0.0371,0.558,0.699,0.164,0.637,112.024,4
4jspOeod1KCDa1IjOHWjng,"0oP5sLCzQvtRCwiI6RntiN","Night Drive","Deep Clues","Brian Ellis",2019-01-15,206211,4,spotify:user:seankmchenry,2022-07-01T17:10:57Z,"synth funk",0.711,0.7,11,-7.871,0,0.0524,0.538,0.259,0.401,0.962,112.01,4
0UpnhFuHk7hTcLh3wi2cEP,"0oP5sLCzQvtRCwiI6RntiN","Fantasy","Deep Clues","Brian Ellis",2019-01-15,243954,4,spotify:user:seankmchenry,2022-07-01T17:10:57Z,"synth funk",0.67,0.66,0,-7.973,0,0.0429,0.528,0.00544,0.0618,0.964,88.981,4
5orzm4lhIEav0DN1xhWmB2,"53LlrTpfGrdZS8QyBUxrVs","Midnight Sun","Observations","Mezzoforte",1984-01-01,271426,16,spotify:user:seankmchenry,2022-07-01T17:36:15Z,"icelandic jazz,smooth jazz",0.712,0.811,0,-11.076,1,0.0382,0.419,0.881,0.052,0.957,104.198,4
0Zg7glh1QVpkTsV8I5LAdU,"1ViWSwtEL3r2Xcg30KhD7d","Deep Breath","Floating Mountains","Soshi Takeda",2021-10-08,354158,14,spotify:user:seankmchenry,2022-07-01T17:38:25Z,"japanese house",0.661,0.609,5,-11.142,0,0.0475,0.482,0.968,0.185,0.649,100,4
3biG71CSJDSaKiM0w38SKc,"1pOpXnXti7QoHJEi7wZnjL","Fatima","Oto No Wa: Selected Sounds of Japan 1988-2018","Kazuya Kotani",2017,288914,8,spotify:user:seankmchenry,2022-07-01T17:38:46Z,"",0.25,0.562,0,-8.123,1,0.0385,0.84,0.858,0.0715,0.24,192.644,4
2V8FnzDA3T6Jrc19HlHy9Z,"1Oi99c5Uoxbg8nJT8WprBw","Angel","Light And Shade","Fra Lippo Lippi",1987-01-01,312133,47,spotify:user:seankmchenry,2022-07-01T17:39:07Z,"opm,pop rock,soft rock",0.751,0.422,0,-14.807,1,0.0305,0.179,0.000294,0.0595,0.715,123.934,4
4gGbnyw4jztAZSIPYuabs5,"4uBSazM6snEc9wCG3jMlYt","Are You Going With Me?","Offramp","Pat Metheny Group",1982-05-03,527373,44,spotify:user:seankmchenry,2022-07-01T17:44:19Z,"ecm-style jazz,jazz,jazz fusion",0.645,0.345,0,-15.857,0,0.0327,0.543,0.866,0.0983,0.489,120.272,4
7KthSsUVpHi8iaffcQqULC,"2eLGfKsKYV3eGy8IMsmGoX","Forbidden Dreams","Verboden Dromen","Shakti",2019-11-27,351960,16,spotify:user:seankmchenry,2022-07-01T18:07:52Z,"",0.679,0.619,1,-10.865,1,0.0298,0.0201,0.91,0.0559,0.746,95.862,4
3HWaSYU8Q3XNuJlF6nLrfq,"0ha8Qlns3CfrrLNI8CVIie","Touch in the Night","No.1 (Jubiläums Edition)","Silent Circle",2011-09-23,319813,54,spotify:user:seankmchenry,2022-07-01T18:14:52Z,"europop,italian disco,new italo disco,spacesynth",0.744,0.812,0,-4.568,1,0.0379,0.0375,0.0138,0.108,0.865,122.083,4
58JFnAlFLK48X34hvNQspC,"4yBS8BzW44rAVa30FCX8GW","Big Hills","Lagoon Fool","Cale Parks",2015-05-18,242927,0,spotify:user:seankmchenry,2022-07-07T17:44:52Z,"ambient pop",0.574,0.813,0,-10.155,0,0.0326,0.000332,0.799,0.135,0.806,92.003,4
5WDQOef6IXuDkLNm8sz2fi,"2W4RGn8br96aceIfOzi8fI","New Life","Little i EP","Fresh & Low",2018-07-23,432366,35,spotify:user:seankmchenry,2022-07-07T17:45:48Z,"deep house",0.817,0.7,10,-10.545,0,0.0472,0.066,0.923,0.102,0.262,124.887,4
5dFnp985oLv58XW7IG0GTy,"59SNrXVA519VMDpAktiSk3","The Blue Man","The Blue Man","Steve Khan",1978-08-26,361240,10,spotify:user:seankmchenry,2022-07-07T17:47:05Z,"jazz fusion,jazz guitar",0.377,0.636,1,-5.938,1,0.0321,0.408,0.439,0.107,0.118,155.982,4
7d48ebXAXOgmjqluwB0NnL,"2nEHZVjgsEYb0gQTegmQ81","Gallery","Leisure","Duett",2021-08-20,222958,25,spotify:user:seankmchenry,2022-07-07T17:48:02Z,"chillsynth,synthwave",0.591,0.655,10,-12.518,0,0.0362,0.387,0.889,0.112,0.659,168.989,4
7fgmo2cHGzWLexkRhBeECj,"0xGtOrmB2hnrNRLG3vhpSo","WINDY SUMMER","Timely!!","Anri",1983-12-05,246693,54,spotify:user:seankmchenry,2022-07-07T17:49:42Z,"classic city pop",0.653,0.762,2,-5.042,1,0.0311,0.175,0.00113,0.174,0.838,106.951,4
33XFs2jRpwfHOVkIWMX9kf,"00Nnsh2ykMBYnCDsSFGXSY","I'm Ready For Your Love","Love Songs","Earl Klugh",1996-01-01,202893,15,spotify:user:seankmchenry,2022-07-07T17:50:55Z,"jazz guitar,smooth jazz",0.796,0.43,3,-14.167,1,0.0364,0.156,0.555,0.101,0.677,82.318,4
3XUmfIhvnX1crrvuqB118p,"38CPjAAqYV8lTYi6clzbjG","Keep Smilin'","Nightflight","Gábor Szabó",1976-01-01,450320,31,spotify:user:seankmchenry,2022-07-07T17:54:16Z,"spiritual jazz",0.668,0.539,10,-12.746,0,0.0312,0.604,0.812,0.0821,0.777,95.835,4
1x52goX2QrS1lbcJZiESll,"7nBJ5F2V7hDZE1hhKgqXM9","Bamboo Fighter","Asakusa Light","Soichi Terada",2022-01-07,276995,23,spotify:user:seankmchenry,2022-07-07T17:55:45Z,"japanese electronic,japanese house",0.766,0.463,0,-13.249,1,0.0532,0.000129,0.9,0.116,0.475,122.989,4
0JmuFZNZNs7hJIWflYE3CA,"7nBJ5F2V7hDZE1hhKgqXM9","Diving into Minds","Asakusa Light","Soichi Terada",2022-01-07,271349,37,spotify:user:seankmchenry,2022-07-07T17:55:45Z,"japanese electronic,japanese house",0.759,0.463,5,-11.716,0,0.0759,0.00912,0.8,0.164,0.298,122.977,4
7eFtVLcFuCBLWhtqHGZGDg,"7wTTRevwI9A3odMw7MWnmh","You Remind Me","Ophilia","Psychic Mirrors",2021-07-02,294960,16,spotify:user:seankmchenry,2022-07-07T17:55:45Z,"miami indie,synth funk",0.467,0.851,6,-5.588,0,0.0366,0.00905,0.164,0.33,0.49,94.023,4
0azxDuO2SufljPLeDfFiil,"7wTTRevwI9A3odMw7MWnmh","Slow Motion Mary","Ophilia","Psychic Mirrors",2021-07-02,243906,18,spotify:user:seankmchenry,2022-07-07T17:55:45Z,"miami indie,synth funk",0.782,0.795,9,-5.427,0,0.0275,0.255,0.0103,0.364,0.957,121.503,4
07vjgCVvOLSPcgGVNmBnru,"01W8kYNqFHyKicPfR0pLwO","Westward Wind","Nights Are Forever","England Dan & John Ford Coley",1976-07,203640,32,spotify:user:seankmchenry,2022-07-07T17:55:45Z,"adult standards,bubblegum pop,country rock,folk rock,mellow gold,soft rock",0.564,0.523,0,-12.404,1,0.0272,0.00708,0.00000226,0.328,0.825,134.596,4
51thi7EjnOYyUfMekOHarD,"78nXwpPOGY9mY5lYMHObwg","Ground to Ground","Change of Tone","45 ACP.",2015-10-30,310780,6,spotify:user:seankmchenry,2022-07-07T17:55:58Z,"vapor soul",0.752,0.562,10,-9.922,0,0.071,0.133,0.888,0.122,0.0688,105.983,4
0RwmwhuT89JnZAcMbroKnD,"4TH7Ht4s96MI3baz9t9kE7","The Four Fountains","At the Water","Eleventeen Eston",2018-05-17,277810,7,spotify:user:seankmchenry,2022-07-07T17:56:20Z,"australian ambient,australian experimental",0.833,0.476,7,-12.817,0,0.0647,0.723,0.854,0.0961,0.558,103.991,4
1Aoj8TQFm9yYJNTrQWxaOU,"3oWDdiqFv3kcZweF7yczou,4yeONOyxJLqWfzlw22Fiaj","Thinking About Your Love - Extended 12 Inch Version","Thinking About Your Love","Turner,Skipworth",2010-12-21,482666,19,spotify:user:seankmchenry,2022-07-07T17:57:19Z,"",0.754,0.589,7,-9.008,1,0.0756,0.0598,0.00122,0.0679,0.873,105.626,4
4lT5XiuLmM8oeRsjsyuAXy,"0JA5uqKcjlx67kfQ5atued,4EFMHRFpgrpfp0AVEBp4m2","All Inclusive","All Inclusive","Pool Boy,Cyril Hahn",2021-09-10,387593,34,spotify:user:seankmchenry,2022-07-07T17:57:37Z,"",0.753,0.727,0,-9.706,0,0.0443,0.295,0.79,0.694,0.747,115.999,4
2boRfspDMS8D2e44lw6VTl,"7DslfczzwUOIbfmCiGmIgW","T.V. Scene - Sensurround Mix","T.V. Scene (Sensurround Mix)","Linda Di Franco",2019-07-05,438408,29,spotify:user:seankmchenry,2022-07-07T18:21:38Z,"",0.725,0.375,0,-17.581,0,0.0679,0.271,0.78,0.0372,0.966,95.531,4
6RZ9lSor7Nfku3SrI8r4V5,"4L9xEztn5PKQIO5WnI5W3u","Crawl Space","Crawl Space","Art Farmer",1977,531453,33,spotify:user:seankmchenry,2022-07-07T18:25:57Z,"bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz trumpet,stride",0.561,0.593,5,-12.329,0,0.0581,0.848,0.853,0.0815,0.915,176.455,4
5KEw1mbppZ1dnuYXExwbuX,"59luKpdal8UwxcuLJNoKwS","The Word Girl","Cupid & Psyche 85","Scritti Politti",1985-06-10,264866,40,spotify:user:seankmchenry,2022-07-07T18:26:29Z,"new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.869,0.38,11,-10.572,0,0.0441,0.259,0.0471,0.0644,0.657,134.388,4
1sWcf2Evvy3XCNpuDn4N7L,"31NF3yc9DoAdh2bgR6mY04","Mysterious Maiden","Nomad","Chico Hamilton",1979,367866,18,spotify:user:seankmchenry,2022-07-07T18:41:15Z,"jazz drums,jazz funk,soul jazz",0.555,0.515,8,-12.006,1,0.0397,0.127,0.582,0.124,0.47,89.201,4
7iTr8oo0nWkLMf92NPvenn,"08tfDO4dSrwxax35a3HIMC","Sarah's Crime","Broken Belief","Toshifumi Hinata",2019-09-19,291319,1,spotify:user:seankmchenry,2022-07-07T18:41:33Z,"japanese soundtrack",0.616,0.552,3,-11.692,1,0.0234,0.554,0.8,0.121,0.474,95.462,4
4ZxGaTJNxraUgWtktufLAO,"135Rv69sEKYSUfBBaI7i3M","Rumours","Kashif","Kashif",2012-06-08,262800,10,spotify:user:seankmchenry,2022-07-07T18:42:52Z,"disco,funk,post-disco,quiet storm,urban contemporary",0.84,0.401,1,-12.299,1,0.0478,0.0158,0.000515,0.092,0.755,115.344,4
3I3tClYQhS7kh9qf0L2IKr,"0XqLMMiljB30SqHKV9PYsD,2ZvhA3s4Jwbcce62lzGEGX","Up To You - Ikon Mix","Palmwine Music","Show Dem Camp,Funbi",2017-06-19,264138,30,spotify:user:seankmchenry,2022-07-07T18:43:00Z,"afro dancehall,afropop,alte,nigerian hip hop,nigerian pop,christian afrobeat",0.827,0.465,11,-11.44,0,0.122,0.369,0.000006,0.161,0.725,102.023,4
7b9QrJwaTRQYAbs0fnoilW,"0XqLMMiljB30SqHKV9PYsD,4qYpTEJThZ8FC8KzyFrSWW,2IJM1sZVKURhI8zSar9pbL","Popping","Palmwine Music","Show Dem Camp,Boj,Odunsi The Engine",2017-06-19,240000,34,spotify:user:seankmchenry,2022-07-07T18:43:00Z,"afro dancehall,afropop,alte,nigerian hip hop,nigerian pop,azontobeats",0.656,0.493,0,-10.47,1,0.274,0.289,0.336,0.0916,0.486,199.897,4
7dvkAGglW9TS6VmQ6sufAX,"1P6U1dCeHxPui5pIrGmndZ","Once Upon a Time","Pocket Symphony","Air",2007-02-28,302226,33,spotify:user:seankmchenry,2022-07-07T18:43:34Z,"ambient pop,downtempo,electronica,trip hop",0.397,0.546,1,-9.845,0,0.0281,0.684,0.781,0.112,0.297,119.98,5
1tn977ke5hqNstiYcmv1Rj,"4uBSazM6snEc9wCG3jMlYt","Here to Stay","We Live Here","Pat Metheny Group",1995,458573,34,spotify:user:seankmchenry,2022-07-08T12:56:06Z,"ecm-style jazz,jazz,jazz fusion",0.575,0.708,4,-9.261,0,0.0315,0.437,0.793,0.384,0.524,96.813,4
0M62I1z80jt3WJhfX0UwtX,"4uBSazM6snEc9wCG3jMlYt","To the End of the World","We Live Here","Pat Metheny Group",1995,734133,32,spotify:user:seankmchenry,2022-07-08T12:56:06Z,"ecm-style jazz,jazz,jazz fusion",0.533,0.54,7,-10.272,0,0.0281,0.343,0.829,0.0996,0.642,96.099,4
1SyDxD1MnlsQNeHHhm2dpg,"02V0FAoWiTFWMT36s1Yt1a","Falling","Our Time","Pender Street Steppers",2019-11-15,266000,38,spotify:user:seankmchenry,2022-07-08T12:58:27Z,"canadian house",0.804,0.752,6,-7.213,1,0.0494,0.0246,0.74,0.0345,0.64,117.974,4
1SriyzbanBnu6uNCflc3eh,"0whggKHSuwP8Ff2zDFcnzF","Only You - Remix","Praise","Praise",1992-11-15,339933,20,spotify:user:seankmchenry,2022-07-09T15:26:08Z,"",0.549,0.69,5,-14.393,0,0.0368,0.0804,0.0397,0.161,0.529,91.312,4
02jesA18BviGX6qpgv8e20,"37qGnzwq8H2Hclqdt8JaBG","Cario","Cario","Coyote",2017-01-06,407782,0,spotify:user:seankmchenry,2022-07-18T14:23:56Z,"balearic",0.694,0.734,10,-8.792,0,0.0605,0.0658,0.689,0.106,0.276,89.996,4
09ygW4wQfqiekza0Qy6F0a,"3Bhgbs9kIwl8SuU0eIqN6b","Passion Fruit","Life In The Modern World","The Crusaders",1988-01-01,327866,8,spotify:user:seankmchenry,2022-08-23T16:18:15Z,"funk,jazz funk,jazz fusion,smooth jazz",0.646,0.742,5,-8.657,0,0.0304,0.0454,0.871,0.557,0.96,93.908,4
1CsR7uSvFBCuozZjz7Ov25,"0GzYaK87LD9HXwVZ61wbxX","Creatchy Stomp","Cuba","Karizma",1995-08-02,313160,1,spotify:user:seankmchenry,2022-08-23T16:24:48Z,"yacht rock",0.679,0.806,2,-11.77,1,0.0334,0.016,0.74,0.0495,0.539,102.207,4
066RUhTXZgwo87hLLfFYoS,"4dYBbLeGUezDO9EdsqCan2","YUMEDONO","KENJI SHOCK","Kenji Omura",2003-08-06,298693,13,spotify:user:seankmchenry,2022-08-23T16:26:49Z,"japanese jazz,japanese new wave,techno kayo",0.638,0.696,1,-7.665,1,0.0447,0.0477,0.000491,0.0773,0.915,91.565,4
0UaocqPwrE731oOaFqByG3,"6tra8quDRpnRvEvXZnQK9u","How Many Lovers","Modern Girls - Original Motion Picture Soundtrack","Anthony And The Camp",1986,242226,10,spotify:user:seankmchenry,2022-08-23T16:31:26Z,"",0.846,0.746,1,-11.652,0,0.0513,0.0247,0.00591,0.0906,0.962,117.925,4
40N6bLKHcormj1J7LvUC7E,"6uOZsbojy1SyLFb9MqfOPT","Odyssey (Pt. 1)","Odyssey","Johnny Harris",2019-03-15,343441,22,spotify:user:seankmchenry,2022-08-23T16:40:35Z,"",0.686,0.934,7,-6.597,1,0.0508,0.034,0.857,0.444,0.522,110.544,4
6FDRj7UQz8WsHfC7sRqtFw,"5jbLFNH7JRV4NeqIG6RYoH","Gnah","Gnah","YO.AN",2017-02-22,350252,1,spotify:user:seankmchenry,2022-08-23T16:42:59Z,"",0.778,0.666,1,-10.097,1,0.0391,0.0483,0.867,0.115,0.547,119.999,4
4JXdBJgLquTlcyVBzI9Xie,"2vJObElaIZWYDLpiXiJMo9","Tone Twilight Zone","Point","Cornelius",2002-01-22,237786,32,spotify:user:seankmchenry,2022-08-23T16:42:59Z,"indietronica,japanese alternative pop,shibuya-kei",0.564,0.396,4,-12.784,1,0.0424,0.805,0.878,0.115,0.063,160.006,4
15weBirjl72MKDg0wkWT6g,"2hUkfSXyuDfQbUeNOShRiz","Indian Summer Love","Secrets","Con Funk Shun",1977-01-01,295400,22,spotify:user:seankmchenry,2022-08-23T16:43:04Z,"classic soul,disco,funk,post-disco,quiet storm,soul,urban contemporary",0.595,0.498,7,-14.64,1,0.0274,0.622,0.269,0.341,0.412,115.135,4
